sdate,variable,value,sign_if_LT_LOD,flag
27-Feb-95,TEMP,5.1,,1
13-Mar-95,TEMP,5.9,,1
27-Mar-95,TEMP,5.5,,1
10-Apr-95,TEMP,8.2,,1
25-Apr-95,TEMP,8.8,,1
08-May-95,TEMP,15,,1
22-May-95,TEMP,12.9,,1
05-Jun-95,TEMP,14.5,,1
19-Jun-95,TEMP,17.8,,1
03-Jul-95,TEMP,20.8,,1
17-Jul-95,TEMP,19.1,,1
31-Jul-95,TEMP,23,,1
14-Aug-95,TEMP,20.9,,1
29-Aug-95,TEMP,18.1,,1
11-Sep-95,TEMP,16.2,,1
25-Sep-95,TEMP,16.5,,1
09-Oct-95,TEMP,12.9,,1
23-Oct-95,TEMP,12.2,,1
06-Nov-95,TEMP,10,,1
